"","DIA_STM","AREA","AVG_DENSITY","TD_AVG","RTP_COUNT","HYP_DIA","TAP_DIA","environment","plantmass"
"74",11.1355,2934.02,0.478289,0.306689,146,1.3463,0.665382,"ws",16.59
"75",9.21156,1431.38,1.30394,0.299251,82,1.07761,0.714427,"ws",10.92
"76",10.9666,4536.93,1.34991,0.316783,231,1.25922,0.757262,"ws",17.69
"77",9.8318,1661.36,0.980272,0.332828,95,1.15628,0.780197,"ws",13.18
"78",9.18586,3351.82,1.4149,0.307046,224,1.31146,0.780514,"ws",12.76
"79",10.0358,2832.04,0.899529,0.300511,197,1.25806,0.831387,"ws",13.58
"80",11.4865,2173.62,0.852323,0.276112,239,1.07604,0.711918,"ws",13.9
"81",10.198,1878.14,3.30457,0.278338,155,0.968514,0.639796,"ws",11.53
"82",10.3923,687.73,0.993408,0.304635,35,1.03376,1.23256,"ws",12.91
"83",10.532,3047.2,0.7199,0.279613,249,1.11682,0.60436,"ws",14.73
"84",10.3744,3681.13,1.20514,0.295642,299,1.16839,0.761091,"ws",14.8
"85",10.5864,2828.48,1.26798,0.271642,294,1.0061,0.725842,"ws",13.94
"86",11.2748,2499.8,0.88786,0.281083,134,1.07708,0.574939,"ws",14.1
"87",10.2131,2537.41,1.3424,0.334475,110,1.24589,0.798969,"ws",13.53
"88",10.1867,1595.76,1.08138,0.292608,111,1.22672,0.786114,"ws",15.55
"89",11.0653,3749.84,1.18312,0.291007,258,1.30065,0.706399,"ws",17
"90",9.42414,1291.9,1.26655,0.307442,90,1.15127,0.730239,"ws",12.81
"91",9.13906,2469.18,1.41921,0.299009,165,1.21402,0.696591,"ws",16.06
"92",10.291,2110.43,1.163,0.298284,129,1.25356,0.7006,"ws",11.37
"93",10.583,3569.4,0.559896,0.304853,230,1.45156,0.701684,"ws",74.15
"94",10.141,1970.43,1.03419,0.317775,69,1.18617,0.792839,"ws",72.59
"95",11.0624,1739.97,1.60517,0.277272,100,1.22746,0.7397,"ws",15.09
"96",11.193,2383.66,1.14167,0.304125,146,1.37271,0.743202,"ws",16.76
"97",10.291,2407.37,1.04192,0.295872,153,1.21117,0.680029,"ws",70.38
"98",9.45742,1161.09,0.967933,0.321051,76,1.13897,0.812467,"ws",12.48
"99",10.198,2424.93,2.23611,0.302807,173,1.16237,0.720299,"ws",13.55
"100",10.3923,2353.16,0.962932,0.29713,188,1.21398,0.637667,"ws",72.13
"101",10.2763,2977.53,1.19288,0.300718,195,1.30862,0.635116,"ws",16.03
"102",10.5864,1746.49,1.35016,0.304142,87,1.30433,0.810053,"ws",75.63
"103",10.4242,1945.88,1.03234,0.282706,121,1.13237,0.768621,"ws",71.73
"104",9.76805,1371.05,1.06411,0.301316,96,1.24485,0.596528,"ws",13.57
"105",10.7703,2760,1.31355,0.300794,217,1.13549,0.729158,"ws",14.18
"106",10.4065,2276.72,1.14816,0.325683,152,1.11439,0.643552,"ws",14.55
"107",10.2579,3481.71,1.59197,0.304402,165,1.2503,0.813351,"ws",16.93
"108",9.45742,1830.73,0.781042,0.293611,138,1.09695,0.710475,"ws",72.92
"109",10.9054,1354.01,1.34756,0.306275,48,1.30098,0.686603,"ws",16.49
"110",11.2384,2377.19,1.47023,0.308804,108,1.14729,0.657858,"ws",73.01
"111",9.60974,1196.26,2.49539,0.304592,57,1.02025,0.706576,"ws",14.18
"112",10.4489,909.7,1.19742,0.274379,81,1.2361,0.641275,"ws",12.11
"113",11.0297,2368.31,0.971801,0.28122,158,1.1353,0.727226,"ws",14.74
"114",10.4907,1604.92,1.51749,0.277919,98,0.882524,0.631037,"ws",69.96
"115",9.55519,1843.83,1.50225,0.293741,115,1.23972,0.546401,"ws",71.73
"116",10.004,2504.7,0.907403,0.304191,170,1.22069,0.796413,"ws",14.88
"117",10.2467,2220.53,0.823033,0.304533,171,1.20013,0.739075,"ws",13.33
"118",10.9666,2045.1,1.80904,0.307252,137,1.31164,0.751996,"ws",13.65
"119",10.532,1652.45,1.53614,0.30587,108,1.25535,0.602345,"ws",74.19
"120",9.42414,2622.65,0.861028,0.306332,204,1.11448,0.688185,"ws",13.21
"121",10.3959,2580.23,0.991084,0.307604,191,1.3128,0.7391,"ws",72.64
"122",10.4803,2479.39,1.00929,0.307683,158,1.20142,0.736352,"ws",17.06
"123",10.3923,2282.48,1.08027,0.302152,151,1.2451,0.922186,"ws",17.65
"124",10.2018,2149.78,0.938937,0.311268,128,1.21642,0.698802,"ws",16.15
"125",11.0297,2042.56,1.08284,0.306837,104,1.3423,1.03002,"ws",16.36
"126",11.2044,3280.71,0.650716,0.295953,252,1.21346,0.661095,"ws",74.09
"127",9.75084,922.102,1.209,0.290561,65,1.05215,0.480601,"ws",69.69
"128",10.4242,2010.41,1.0979,0.30689,126,1.19728,0.541544,"ws",71.48
"129",10.6366,4450.13,1.11263,0.3266,224,1.32476,0.734636,"ws",75.86
"130",10.583,2378.72,1.54068,0.289988,180,1.24644,0.732741,"ws",15.7
"131",10.291,2006.64,0.724001,0.295914,153,1.13881,0.646023,"ws",74.06
"132",10.0634,2026.37,1.66762,0.30157,176,0.987562,0.725095,"ws",11.69
"133",11.2073,4585.09,0.58652,0.31343,214,1.39845,0.902838,"ws",77.17
