Image ID,Image name,Experiment Tag,circle ratio,x pixel,y pixel,xScale,yScale,computation time,Skeleton Vertices,DIA_STM,AREA,AVG_DENSITY,TD_MED,TD_AVG,RTP_COUNT,ADVT_COUNT,BASAL_COUNT,HYP_DIA,TAP_DIA
470147,DSC_0410.JPG,56_40_6,0.015228426,194,197,0.130927835,0.12893401,323,20909,10.3093,2859.51,0.495388,0.30903,0.323795,183,4,26,1.26493,0.924892
469649,DSC_0041.JPG,24_55_6,0.005128205,194,195,0.130927835,0.13025641,264,18800,10.4803,2024.59,0.891514,0.310602,0.304886,161,9,23,1.17528,0.662826
469955,DSC_0893.JPG,28_55_2,0,194,194,0.130927835,0.130927835,288,22359,10.2579,2890.88,0.793252,0.311401,0.324765,147,8,15,1.38879,0.930966
470116,DSC_0378.JPG,31_55_12,0.010152284,195,197,0.13025641,0.12893401,337,22561,9.0324,2298.71,1.41893,0.308231,0.305396,211,12,16,1.10139,0.596613
470117,DSC_0379.JPG,51_40_8,0.010152284,195,197,0.13025641,0.12893401,379,26200,12.8062,3353.86,0.610383,0.308231,0.305968,186,6,27,1.32719,0.60612
470162,DSC_0428.JPG,56_40_8,0.010152284,195,197,0.13025641,0.12893401,330,18710,6.57774,2154.85,0.767673,0.308231,0.306806,184,16,22,0.927466,0.632335
469963,DSC_0885.JPG,36_55_14,0.005102041,195,196,0.13025641,0.129591837,365,26321,9.42414,2622.65,0.861028,0.309013,0.306332,204,4,34,1.11448,0.688185
470202,DSC_0776.JPG,55_40_13,0,195,195,0.13025641,0.13025641,241,17598,10.1905,1926.49,0.908063,0.309804,0.30999,106,14,15,1.26972,0.774514
469969,DSC_0879.JPG,35_55_13,0.02,196,200,0.129591837,0.127,290,17969,10.4065,2276.72,1.14816,0.305141,0.325683,152,12,17,1.11439,0.643552
469957,DSC_0891.JPG,58_40_5,0.02,196,200,0.129591837,0.127,441,44803,11.702,4950.93,1.69448,0.305141,0.307235,253,14,30,1.35376,0.791789
469953,DSC_0895.JPG,34_55_2,0.02,196,200,0.129591837,0.127,222,11593,10.3312,1681.66,1.82059,0.305141,0.326368,85,4,21,1.33657,0.863731
469949,DSC_0899.JPG,27_55_10,0.02,196,200,0.129591837,0.127,280,19694,11.7368,2697.85,1.11029,0.305141,0.304307,141,10,15,1.39977,0.924882
470274,DSC_0678.JPG,32_55_1,0.01010101,196,198,0.129591837,0.128282828,350,22878,9.83601,2865.25,1.2372,0.306666,0.318837,171,10,25,1.30332,0.923455
470235,DSC_0737.JPG,40_55_9,0.01010101,196,198,0.129591837,0.128282828,284,15289,10.378,2175.32,0.837402,0.306666,0.328311,100,11,5,1.06112,0.598082
469934,DSC_0914.JPG,27_55_16,0.01010101,196,198,0.129591837,0.128282828,273,18929,11.4467,2074.93,0.778248,0.306666,0.311929,189,8,19,1.38259,0.707782
470271,DSC_0692.JPG,36_55_5,0.005076142,196,197,0.129591837,0.12893401,250,21674,11.3137,2446.35,1.16132,0.307441,0.302678,147,13,11,1.33205,0.756055
470234,DSC_0738.JPG,40_55_6,0.005076142,196,197,0.129591837,0.12893401,404,29658,10.198,3466.74,0.552784,0.307441,0.304558,222,12,21,1.28388,0.789385
