plot ID,dry weight 1 shoot plus bag
31.51.13,18.25
74.50.1,17.95
74.50.6,23.04
27.51.3,18.88
39.24.4,20.72
43.51.3,24.77
113.52.7,15.11
37.24.8,25.77
68.54.16,12.5
57.40.15,20.23
110.52.6,16.61
40.51.3,15.83
26.34.1,22.37
25.55.1,16.68
33.51.14,16.42
66.54.12,19.7
60.40.10,28.44
35.51.2,15.28
128.52.3,15.62
59.40.11,17.79
115.48.12,22.53
78.54.12,20.75
18.51.6,17.37
81.50.6,25.05
26.55.11,17.82
66.54.7,28.24
110.48.12,29.33
51.40.11,16.91
50.40.9,13.15
80.50.1,29.6
42.51.5,18.08
43.51.7,15.02
39.24.3,25.4
81.50.12,17.16
129.52.16,17
65.54.11,18.69
60.40.8,16.96
35.51.7,21.49
34.55.14,11.37
116.52.10,18.66
25.55.6,20.25
66.54.5,14.06
63.54.15,17.55
40.24.8,17.74
40.24.16,24.48
74.50.2,18.9
73.50.12,28.25
18.51.7,25.91
81.50.3,22.49
40.51.15,21.42
63.54.13,20.04
26.34.7,19.96
57.40.11,21.07
33.55.4,13.94
33.34.15,27.63
20.51.8,19.87
23.55.8,17.41
113.48.11,14.26
114.52.13,16.99
118.48.10,18.29
132.52.4,18.19
119.48.14,30.7
111.48.15,25.5
73.50.2,22.98
20.34.16,35.73
64.54.5,15.91
28.55.15,12.42
111.48.2,23.02
38.55.14,18.18
114.48.2,16.68
81.50.11,18.46
35.34.2,28.96
74.54.13,24.51
116.48.13,27.44
113.48.5,38.93
31.55.16,11.42
118.48.4,22.61
39.55.13,17.42
37.24.13,30.46
42.24.6,21.12
77.50.9,12.83
75.54.5,18.51
110.48.6,29.93
35.34.4,24.73
27.55.14,13.79
110.52.13,19.43
40.24.10,27.78
40.24.5,23.77
77.50.2,15.57
68.54.3,14.26
132.52.13,16.61
64.54.2,19.53
109.52.14,13.46
119.48.6,28.08
28.34.3,18.02
52.40.1,18.83
78.54.8,20.21
114.52.5,14.81
110.48.16,26.08
110.48.10,24.06
59.40.1,14.78
115.48.2,23.31
40.24.7,29.01
31.55.7,13.83
34.55.12,12.81
34.51.12,10.43
114.48.4,28.71
78.54.5,19.01
112.48.9,12.33
41.24.3,17.22
130.52.9,11.55
73.50.6,27.23
24.55.11,14.27
87.50.3,25.12
20.34.8,31.24
67.54.16,15.56
19.34.2,26.86
79.54.9,19.88
17.34.5,23.99
117.48.11,25.8
80.54.7,13.97
116.52.16,19.03
26.34.14,22.27
52.40.16,19.51
32.34.15,27.6
19.34.13,33.74
63.54.6,18.75
80.54.2,18.58
29.34.13,15.54
21.51.9,21.29
17.34.13,24.8
110.52.11,16.39
43.24.6,25.25
110.52.12,15.06
17.34.3,37.99
112.48.2,13.02
118.48.14,17.58
52.40.5,24.3
112.52.1,19.1
131.52.10,15.39
41.55.13,16.55
68.54.7,18.02
24.55.15,16.68
21.51.15,20.36
32.34.5,25.32
117.48.14,23.97
65.54.9,12.86
27.34.12,23.64
27.34.15,26.37
20.34.6,24.28
110.48.2,36.06
113.52.10,17.7
76.50.5,27.26
20.34.7,23.21
18.34.5,25.1
110.48.5,26.35
66.54.15,27.91
59.40.7,20.02
30.34.15,15.52
43.24.1,33.56
39.55.12,15.81
113.48.4,20.39
35.34.10,31.5
21.51.10,18.4
112.48.13,18.16
113.48.8,23.86
50.40.10,17.35
38.55.13,19.65
35.55.3,16.49
17.34.14,24.56
27.34.1,21.45
68.54.12,18.68
83.50.4,18.75
25.55.10,20.93
109.52.8,14.89
77.54.14,18.9
130.52.4,13.33
111.52.12,23.23
35.34.16,29.68
32.55.15,15.03
112.48.15,15.11
79.54.11,15.73
51.40.3,16.51
63.54.2,14.79
35.51.1,20.3
79.54.5,21.83
114.52.2,20.01
34.34.7,27.9
28.34.10,12.56
109.52.7,21.94
63.54.8,27.05
19.34.8,34.73
36.34.16,15.24
119.48.13,32.17
25.55.12,15.44
75.54.3,18.28
109.48.7,14.22
44.24.5,19.89
77.54.1,17.76
74.50.10,18.99
32.34.6,20.91
26.34.13,19.48
74.54.15,21.17
115.48.10,18.43
42.24.5,20.26
35.55.6,12.11
66.54.11,13.51
76.50.6,20.54
56.40.5,12.25
67.54.13,22.43
32.34.4,23.61
57.40.3,18.82
118.48.7,25.19
114.48.1,23.42
29.34.6,29.57
26.55.4,13.3
27.34.11,17.9
109.52.2,13.2
44.24.2,31.4
115.52.1,15.18
68.54.1,11.31
86.50.1,16.78
56.40.1,17.55
34.51.11,14.42
87.50.2,25.1
28.55.8,15.6
41.24.13,17.07
31.34.15,30.63
18.34.11,19.86
55.40.8,18.98
17.34.12,21.27
115.48.6,23.52
36.34.12,19.56
60.40.6,13.62
130.52.3,20.54
16.34.7,36.25
84.50.3,20.03
16.34.13,27.95
130.52.5,15.04
34.34.15,33.56
44.24.12,24.05
111.48.1,23.55
128.52.10,20.96
109.48.13,19.2
55.40.16,22.18
77.54.15,16.64
33.51.1,23.19
34.51.13,14.16
23.55.12,13.54
117.48.6,17.36
18.34.16,22.66
23.55.16,15.21
68.54.8,15.27
37.55.11,15.7
53.40.12,21.07
51.40.13,19.43
115.48.8,31.97
114.48.10,15.17
34.51.9,18.16
115.48.14,22.95
36.34.3,22.81
117.48.13,16.64
34.51.16,15.98
33.34.10,29.64
17.34.4,23.26
34.55.11,17
109.52.3,17.88
40.55.16,13.66
31.34.5,24.2
130.52.6,10.96
21.51.1,25.92
37.55.7,19.62
111.48.8,25.58
117.48.2,25.81
25.34.7,21.64
118.48.2,27.56
32.34.14,22.06
34.34.9,20.05
35.55.14,16.93
56.40.15,17.12
115.52.9,18.57
34.51.8,13.35
112.48.16,19.89
26.34.5,20.45
77.54.16,12.76
131.52.25,14.77
32.55.4,17.69
129.52.12,17.14
131.52.16,18.08
50.40.16,18.44
67.54.1,15.87
63.54.7,25.8
130.52.2,14.43
63.54.3,16.61
21.51.16,17.45
76.54.12,20.16
78.50.14,18.16
20.34.9,21.25
83.50.16,15.77
27.34.13,23.09
29.34.15,24.08
74.54.16,18.95
75.50.9,20.83
31.51.15,17.68
56.40.2,20.29
57.40.7,18.61
78.50.4,22.93
54.40.14,11.15
112.48.7,23.4
59.40.6,16.83
18.34.4,27.52
17.34.6,39.97
86.50.14,18.82
110.48.1,24.22
77.50.7,19.17
39.55.11,16.05
33.34.7,10.61
75.54.11,23.92
40.55.8,13.66
75.54.7,20.35
29.34.4,24.12
115.52.13,15.83
31.55.5,13.48
30.34.8,18.26
110.48.8,19.7
111.48.13,23.59
34.34.2,20.35
77.50.5,19.59
66.54.6,17.64
29.51.12,14.52
53.40.2,20.15
87.50.12,25.24
34.55.7,13.55
25.34.10,12.33
114.48.12,15.46
109.48.1,34.31
113.48.10,16.14
35.34.11,19.51
79.54.13,17.88
31.34.7,29.65
86.50.12,25.25
18.34.13,26.39
33.51.8,18.93
29.34.16,34.98
111.48.11,24.24
41.55.16,16.25
112.48.8,32.91
24.55.13,11.64
21.51.12,17.63
81.50.15,15
79.50.6,24.75
29.34.1,24.25
24.55.7,12.02
32.51.4,19.03
27.34.16,24.25
81.50.9,21.23
112.52.11,17.54
114.48.13,19.86
65.54.5,17.92
33.51.6,16.7
77.50.12,13.52
109.48.3,24.38
58.40.3,17.55
73.50.16,16
128.52.1,12.85
27.51.2,15.82
116.48.15,18.08
33.55.1,13.9
17.34.1,20.4
112.52.4,19.43
78.54.3,19.3
128.52.9,24
77.50.14,16.21
38.24.5,29.72
38.24.14,25.62
36.55.4,16.36
25.34.14,12.54
35.34.6,30.23
31.55.13,10.52
109.48.14,21.25
73.50.15,20.06
33.34.11,19.12
28.34.1,14.91
78.50.3,18.8
37.24.9,32.77
55.40.5,23.32
34.51.1,22.61
55.40.11,13.62
116.52.13,16.19
33.55.15,11.65
119.48.9,26.98
38.24.3,15.58
115.48.16,25.48
27.34.6,16.07
80.54.8,21.27
23.55.9,13.58
36.34.2,26
24.55.1,15.69
17.34.15,33.48
75.50.1,21.61
75.54.16,19.29
26.34.10,16.32
43.24.14,23.5
86.50.6,17.48
79.50.9,14.51
78.54.9,24.35
39.24.16,26.13
119.48.12,20.65
23.55.14,12.73
63.54.11,17.47
83.50.13,18.44
111.48.3,19.09
77.54.11,12.46
77.54.4,11.56
32.51.2,18.48
43.24.2,43.21
59.40.4,20.21
39.24.12,13.85
39.24.14,26.99
39.24.9,23.34
112.48.10,21.52
85.50.12,18.86
31.34.3,28.56
117.48.5,30.48
41.55.15,18.58
86.50.13,13.06
26.34.11,18.86
40.55.10,14.99
25.34.2,26.43
54.40.4,18.64
32.55.7,13.18
34.51.14,18.54
28.34.8,17.2
63.54.16,22.84
117.48.1,27.85
31.55.15,11.52
19.34.9,23.94
52.40.2,15.55
39.55.15,15.76
39.55.7,19.19
32.55.9,13.58
17.34.8,32.84
74.50.15,24.8
86.50.10,14.88
115.52.16,23.01
30.34.9,17.39
26.34.15,23.93
111.52.9,15.21
117.48.7,22.2
110.48.13,24.84
59.40.9,13.93
109.48.10,22.43
21.51.11,17.02
78.50.16,15.52
42.24.7,16.56
33.51.16,17.18
32.51.1,14.57
33.55.16,14.73
85.50.6,17.27
75.50.16,28.92
21.51.14,18.48
41.24.2,22.49
42.24.4,23.88
31.34.14,19.51
21.51.4,17.52
21.51.5,15.47
35.34.15,17.76
38.24.2,23.56
80.50.3,21.09
35.55.7,14.74
37.24.16,20.01
73.54.13,17.54
78.50.15,24.02
111.48.12,15.74
35.34.3,15.91
27.34.10,33.04
114.48.14,23.38
25.34.8,26.11
26.34.9,13.59
109.48.9,25.56
