plot ID,dry weight 1 shoot plus bag
129.52.11,16.36
74.54.9,22.45
16.34.14,20.76
113.48.9,19.66
116.52.15,21.33
27.34.3,28.65
18.51.5,15.27
20.51.14,21.08
113.48.7,26.93
114.48.15,26.37
65.54.13,23.28
25.34.16,29.67
79.54.10,20.17
44.51.2,19.52
24.51.8,18.69
26.51.15,18.09
18.34.10,21.36
 56.40.7,18.35
39.24.13,34.9
29.34.8,26.68
110.48.14,25.76
19.51.5,18.73
19.51.1,25.28
23.51.10,25.84
25.34.9,12.82
37.24.14,25.36
25.51.16,16.17
33.55.15,14.65
24.51.10,19.01
18.51.10,14.09
111.48.6,31.48
50.40.1,22.96
24.55.14,13.05
27.51.16,20.46
111.48.4,36.25
78.54.13,19.85
43.51.11,19.62
24.55.6,12.95
31.34.2,29.23
110.52.9,18.6
25.51.13,14.26
27.34.2,17.49
78.54.14,18.33
18.34.3,21.75
41.24.6,26.61
74.54.2,19.19
87.50.8,24.65
29.51.10,17.82
109.48.11,19.61
29.51.15,13.88
78.50.1,22.46
42.51.12,17.05
24.51.6,18.28
36.51.16,17.63
80.50.8,20.08
27.51.7,19.78
27.55.8,22.9
23.51.1,19.96
30.51.8,19.14
44.51.5,19.12
23.51.12,27.05
32.51.9,23.88
24.51.9,23.52
20.51.4,23.27
19.51.2,24.52
57.40.12,17.52
25.51.14,13.5
20.51.9,27.26
20.51.10,28.13
73.50.5,19.33
38.24.11,21.84
73.50.9,22.54
77.50.8,15.43
83.50.7,13.97
86.50.15,13.48
76.50.7.A,16.77
30.51.10,14.99
30.51.3,19.41
41.24.16,19.58
38.24.16,33.33
32.51.15,25.44
38.24.9,16.71
83.50.14,17.88
24.51.1,26.29
86.50.8,14.07
29.51.16,19.44
113.52.15,13.79
110.52.1,18.49
24.51.11,22.12
51.40.9,20.98
42.24.13,18.21
18.34.1,26.73
35.34.5,21.64
19.34.7,25.72
73.50.3,14.73
32.51.8,16.73
 29.34.11,26.9
75.54.12,14.34
73.54.15,11.92
32.51.16,14.62
43.24.15,17.46
37.24.6,25.96
74.50.8,27.96
35.34.12,19.31
86.50.9,15.21
42.24.12,26.51
 30.51.2,18.26
85.50.16,17.56
83.50.9,22.45
78.50.9,23.43
24.51.14,23.81
86.50.7,23.53
118.48.3,24.5
84.50.13,19.7
84.50.2,19.61
37.24.17,43.53
31.34.6,13.94
82.50.5,22.79
37.24.7,23.89
24.51.16,22.99
38.24.10,25.79
73.50.7,22.09
85.50.1,18.51
42.24.9,22.22
42.24.10,19.63
78.54.7,23.56
56.40.1,17.24
119.48.2,28.68
44.24.10,25.9
66.54.1,15.46
42.24.15,14.04
85.50.3,17.6
84.50.4,20.35
87.50.13,19.51
42.24.14,29.4
50.40.8,28.44
41.24.11,34.69
39.24.5,30.23
42.24.16,26.83
85.50.7,24.91
112.52.15,15.1
74.50.11,23.84
 82.50.9,11.63
74.50.12,16.45
27.51.5,14.67
24.51.7,22.24
30.34.4,28.3
79.50.7,19.4
78.50.13,16
110.52.15,23
86.50.11,14.56
80.50.11,21.2
64.54.1,13.72
33.55.12,12.91
31.34.16,25.37
24.51.13,17.46
20.34.2,24.47
83.50.10,20.36
18.34.7,18.78
115.48.5,25.3
73.50.14,23.45
44.24.8,27.02
73.50.1,17.67
40.55.2,14.2
32.51.3,21.14
51.40.6,13.13
68.54.14,19.69
83.50.15,24.35
24.51.3,14.74
27.55.13,13.07
74.50.14,19.7
27.51.10,19.43
83.50.1,22.53
130.52.7,20.52
37.24.3,21.23
111.52.4,22.31
52.40.4,17.34
20.51.15,24.25
33.34.9,22.58
128.52.7,10.92
112.48.14,19.66
87.50.14,18.96
50.40.7,20.87
23.55.15,20.33
54.40.11,18.87
77.54.5,26.2
30.51.7,16.05
41.24.4,17.12
82.50.12,15.59
114.52.15,12.36
27.34.14,25.79
111.52.6,16.27
68.54.2,26.64
56.40.9,16.7
27.34.7,16.41
75.50.11,20.29
65.54.10,17.65
20.51.1,24
28.34.15,26.03
38.24.8,26.26
116.48.1,21.83
109.48.8,19.05
60.40.3,18.07
39.24.7,23.47
34.51.5,12.88
32.34.7,29.1
35.51.4,22.54
33.55.13,13.46
30.34.16,22.4
26.51.6,15.92
26.51.4,19.91
110.52.5,16.05
34.55.13,16.06
25.51.8,15.25
114.48.7,24.88
34.51.6,16.47
58.40.2,14.82
128.52.11,20.63
52.40.3,20.96
112.52.5,14.96
21.51.7,18.78
81.50.5,24.97
43.24.13,24.55
128.52.16,18.35
81.50.1,17.23
18.34.9,24.85
39.55.8,23.9
86.50.2,15.94
77.54.3,21.75
28.34.6,21.2
65.54.6,24.2
19.34.10,16.59
116.48.6,30.65
130.52.14,12.1
19.34.4,27.38
34.34.1,26.13
33.34.1,22.3
33.51.15,15.76
60.40.15,21.07
83.50.11,18.79
26.34.12,27.56
18.34.15,27.44
21.51.2,17.37
111.48.16,23.68
73.50.10,20.07
115.48.13,23.51
110.52.7,13.19
50.40.14,22.66
35.34.14,32.1
25.55.2,14.99
17.34.7,13.55
33.34.4,26.43
64.54.12,19.86
34.34.6,22.95
67.54.4,19.95
19.34.15,23.06
68.54.6,20.67
25.34.3,31.96
78.54.10,18.57
118.48.9,24.77
118.48.16,19.84
36.34.7,27.6
19.34.11,27.99
32.55.1,14.73
84.50.8,18.22
112.48.1,27.84
75.50.8,21.94
51.40.8,23.8
82.50.16,18.35
111.52.7,18.94
32.55.13,12.92
115.48.7,18.38
85.50.2,21.45
17.34.11,29.09
29.34.7,22.57
37.24.10,29.76
39.24.2,24.88
40.55.9,14.61
57.40.13,12.54
41.24.1,29.16
73.50.13,19.09
82.50.10,21.27
119.48.3,27.5
65.54.3,13.39
84.50.5,21.88
112.52.14,12.07
33.34.6,17.82
28.34.2,21.8
60.40.11,18.83
23.51.3,20.97
116.52.6,16.09
44.24.6,22.83
33.51.7,13.46
113.52.11,16.79
63.54.14,19.34
19.34.14,24.74
24.55.2,15.34
25.34.1,20.46
40.24.12,19.7
36.34.4,22.74
128.52.8,11.6
116.48.9,26.92
82.50.14,18.61
38.55.16,16.19
83.50.6,19.26
74.50.7,32.47
83.50.12,20.17
16.34.9,20.21
81.50.10,19.29
87.50.16,20.7
84.50.9,22.05
25.34.15,27.14
118.48.8,19.82
31.34.10,27.92
26.51.2,22.36
74.50.3,20.35
42.24.2,23.69
41.51.8,10.69
82.50.13,18.74
26.51.1,15.16
39.24.10,28.82
25.51.5,16.4
110.52.3,15.79
60.40.13,25.83
18.51.13,17.27
44.24.16,21.69
77.50.6,16.4
31.34.1,19.72
40.24.14,25.39
30.51.6,12.82
66.54.10,22.1
81.50.8,20.27
35.51.6,18.76
20.34.1,41.09
79.50.3,18.91
83.50.5,16.49
78.50.11,21.83
28.55.3,18.24
29.51.9,16.96
83.50.3,19.66
67.54.3,14.42
87.50.9,20.24
16.34.8,20.57
19.34.16,34
78.54.4,29.6
16.34.5,27.71
117.48.10,21.86
30.51.9,20.78
111.48.10,25.69
73.50.11,20.07
33.51.9,12.02
130.52.10,20.96
79.50.1,26.29
116.48.14,33.33
25.34.4,31.45
116.52.2,13.07
18.51.9,3.16
68.54.15,20.84
109.48.4,26.27
23.55.4,12.51
117.48.9,12.84
112.48.12,19.64
16.34.3,30.22
112.52.12,17.4
67.54.6,12.28
18.34.14,22.35
29.34.3,35.67
30.34.1,30.36
51.40.16,25.61
19.34.1,24.41
118.48.13,25.03
56.40.3,19.49
75.54.10,17.7
38.55.1,14.63
117.48.8,15.05
25.55.14,15.96
118.48.11,21.51
131.52.8,22.08
26.34.4,16.68
30.34.5,29.1
40.55.14,14.53
38.24.7,33.1
79.54.1,18.3
53.40.11,28.16
44.51.4,19.93
30.34.12,14.91
57.40.9,20.64
68.54.4,21.97
33.51.10,19.87
34.51.3,13.98
25.34.13,12.05
40.51.1,15.5
23.51.6,17.37
57.40.1,20.98
41.24.14,22.67
75.54.4,18.55
129.52.6,19.69
57.40.2,15.72
16.34.11,20.23
75.50.15,17.05
74.50.16,22.9
40.24.13,13.9
85.50.11,27.77
32.51.13,20.15
21.51.6,16.54
38.55.10,13.07
31.55.12,12.58
109.48.15,18.28
76.50.7.B,19.23
109.52.6,20.59
25.34.11,25.93
59.40.13,17.83
85.50.13,12.75
56.40.16,13.44
29.34.2,23.66
114.52.11,23.64
