Image ID,Image name,Experiment Tag,circle ratio,x pixel,y pixel,xScale,yScale,computation time,Skeleton Vertices,DIA_STM,AREA,AVG_DENSITY,TD_MED,TD_AVG,RTP_COUNT,ADVT_COUNT,BASAL_COUNT,HYP_DIA,TAP_DIA
469004,DSC_9209.JPG,79_50_9,0.022222222,176,180,0.144318182,0.141111111,190,13881,12.4259,2231.81,1.07228,0.339435,0.349587,70,16,10,0.754084,1.1567
469003,DSC_9210.JPG,79_50_2,0.022222222,176,180,0.144318182,0.141111111,277,27047,11.3686,4778.71,0.861765,0.339435,0.349397,140,7,15,1.592,1.04691
469001,DSC_9217.JPG,80_50_8,0.022222222,176,180,0.144318182,0.141111111,225,21423,11.4467,3161.3,1.10052,0.339435,0.359398,119,17,17,1.27168,0.732136
469000,DSC_9218.JPG,84_50_1,0.022222222,176,180,0.144318182,0.141111111,206,17406,11.1355,2894.59,1.12825,0.339435,0.360099,117,8,17,1.60519,1.13973
468971,DSC_9255.JPG,82_50_4,0.022222222,176,180,0.144318182,0.141111111,219,22248,11.193,4119.19,2.58667,0.339435,0.366814,101,6,16,1.3206,0.96752
468966,DSC_9260.JPG,87_50_13,0.022222222,176,180,0.144318182,0.141111111,215,16815,11.9487,2728.51,0.687301,0.339435,0.353665,116,14,24,1.43858,0.683186
468962,DSC_9264.JPG,87_50_12,0.022222222,176,180,0.144318182,0.141111111,236,22615,11.3821,3619.49,1.23326,0.339435,0.331922,118,7,9,1.48279,0.957386
468958,DSC_9272.JPG,79_50_14,0.022222222,176,180,0.144318182,0.141111111,276,23491,10.3959,3586.89,1.15941,0.339435,0.352811,144,7,16,1.28058,0.90434
468957,DSC_9273.JPG,79_50_6,0.022222222,176,180,0.144318182,0.141111111,340,31504,11.8538,4941.81,0.639898,0.339435,0.351697,205,15,27,1.49534,0.918362
468956,DSC_9274.JPG,87_50_6,0.022222222,176,180,0.144318182,0.141111111,224,18877,11.3385,2871.21,1.18925,0.339435,0.343095,115,13,28,1.36846,0.846173
468951,DSC_9281.JPG,84_50_10,0.022222222,176,180,0.144318182,0.141111111,165,5921,10.198,1147.15,1.24652,0.339435,0.380258,55,11,25,1.09701,0.743093
468949,DSC_9283.JPG,84_50_6,0.022222222,176,180,0.144318182,0.141111111,229,20630,10.8495,3212.09,0.803961,0.339435,0.327805,120,5,13,1.49603,0.900531
468948,DSC_9284.JPG,87_50_16,0.022222222,176,180,0.144318182,0.141111111,265,16239,11.1123,2656.19,0.9931,0.339435,0.343087,142,12,17,1.37936,0.894204
468942,DSC_9291.JPG,82_50_16,0.022222222,176,180,0.144318182,0.141111111,208,16448,10.198,2347.52,1.50251,0.285429,0.332826,90,10,17,1.2448,0.570295
468941,DSC_9297.JPG,81_50_6,0.022222222,176,180,0.144318182,0.141111111,363,33680,11.3137,4644.07,0.892102,0.339435,0.334345,239,10,21,1.49439,0.913293
468940,DSC_9298.JPG,81_50_8,0.022222222,176,180,0.144318182,0.141111111,318,25107,10.583,3597.58,0.724503,0.339435,0.340796,174,7,15,1.5269,1.01421
468939,DSC_9299.JPG,81_50_5,0.022222222,176,180,0.144318182,0.141111111,242,13610,12.2207,2619.48,1.22666,0.339435,0.361583,121,9,25,1.12136,0.905067
468938,DSC_9300.JPG,81_50_14,0.022222222,176,180,0.144318182,0.141111111,251,17612,10.7735,2181.26,0.923961,0.339435,0.334839,156,13,14,1.39064,0.708819
468873,DSC_9407.JPG,74_50_9,0.022222222,176,180,0.144318182,0.141111111,354,27590,11.1384,4131.65,1.15408,0.339435,0.339845,205,5,17,1.49277,0.940962
468862,DSC_9420.JPG,86_50_7,0.022222222,176,180,0.144318182,0.141111111,356,27103,12.829,3789.99,0.992533,0.339435,0.33612,195,6,22,1.70617,0.744852
468858,DSC_9424.JPG,37_24_17,0.022222222,176,180,0.144318182,0.141111111,544,42933,13.4164,6434.31,0.80045,0.339435,0.340972,300,4,45,1.52184,0.833712
468837,DSC_9449.JPG,37_24_2,0.022222222,176,180,0.144318182,0.141111111,339,21380,12.3818,3106.73,0.440378,0.339435,0.33868,192,7,21,1.45713,0.943862
165,DSC_9304.JPG,78_50_15,0.022222222,176,180,0.144318182,0.141111111,195,21009,11.19301917,3626.703402,1.351016299,0.339434546,0.343435036,120,12,20,1.522056942,1.090444452
