"","Experiment.Tag","Image.ID","Image.name","circle.ratio","x.pixel","y.pixel","xScale","yScale","computation.time","Skeleton.Vertices","DIA_STM","AREA","AVG_DENSITY","TD_MED","TD_AVG","RTP_COUNT","ADVT_COUNT","BASAL_COUNT","HYP_DIA","TAP_DIA","environment","plantmass"
"33","26_55_4",469683,"DSC_0093.JPG",0.01025641,193,195,0.131606218,0.13025641,546,46257,10.198,4361.31,1.9697,0.311409,0.304873,463,24,25,1.07092,0.830877,"ws","13.3"
"35","27_55_10",469949,"DSC_0899.JPG",0.02,196,200,0.129591837,0.127,280,19694,11.7368,2697.85,1.11029,0.305141,0.304307,141,10,15,1.39977,0.924882,"ws","75.63"
"36","27_55_11",469987,"DSC_0861.JPG",0.024752475,197,202,0.12893401,0.125742574,309,23188,10.583,2493.82,0.762981,0.302863,0.305906,174,17,26,1.10026,0.690239,"ws","16.08"
"37","27_55_12",470010,"DSC_0838.JPG",0.029411765,198,204,0.128282828,0.124509804,283,23491,10.5183,2962.24,0.480106,0.300623,0.299808,128,11,18,1.16315,0.764015,"ws","75.79"
"38","27_55_13",470228,"DSC_0744.JPG",0,198,198,0.128282828,0.128282828,351,25958,7.52121,2223.7,0.916933,0.30511,0.301308,218,11,23,0.923396,0.58296,"ws","13.07"
"39","27_55_14",469576,"DSC_1041.JPG",0.005025126,198,199,0.128282828,0.127638191,321,22620,10.016,2250.53,1.19116,0.304343,0.306151,210,8,35,1.24418,0.550241,"ws","13.79"
"40","27_55_15",469943,"DSC_0905.JPG",0.024630542,198,203,0.128282828,0.125123153,243,20352,10.7317,2243.81,0.537612,0.301352,0.296642,137,13,17,1.35229,0.790361,"ws","18.23"
"41","27_55_16",469934,"DSC_0914.JPG",0.01010101,196,198,0.129591837,0.128282828,273,18929,11.4467,2074.93,0.778248,0.306666,0.311929,189,8,19,1.38259,0.707782,"ws","74.37"
"42","27_55_2",469931,"DSC_0917.JPG",0,197,197,0.12893401,0.12893401,312,24666,11.4119,3500.39,0.979385,0.306658,0.311989,171,19,10,1.0936,0.877332,"ws","78.32"
"43","27_55_3",469910,"DSC_0938.JPG",0.009950249,199,201,0.127638191,0.126368159,307,25260,10.2763,2662.3,1.00856,0.302066,0.30353,151,1,35,1.24198,0.642649,"ws","14.38"
"44","27_55_4",469970,"DSC_0878.JPG",0.015,197,200,0.12893401,0.127,265,19215,10.2467,2260.84,1.23552,0.304359,0.30816,147,14,17,1.21922,0.734469,"ws","74.06"
"45","27_55_5",469900,"DSC_0948.JPG",0.01980198,198,202,0.128282828,0.125742574,301,21399,11.1615,2913.67,1.7257,0.302089,0.302524,157,8,21,1.32455,0.647487,"ws","20.69"
